,Pclass,Sex,Age,Fare,Embarked,Loc,GroupSize
682,3,male,20.0,9.225,S,X,1
683,3,male,14.0,46.9,S,X,8
684,2,male,60.0,39.0,S,X,3
685,2,male,25.0,41.5792,C,X,4
686,3,male,14.0,39.6875,S,X,6
687,3,male,19.0,10.1708,S,X,1
688,3,male,18.0,7.7958,S,X,1
689,1,female,15.0,211.3375,S,B,2
690,1,male,31.0,57.0,S,B,2
691,3,female,4.0,13.4167,C,X,2
692,3,male,25.0,56.4958,S,X,1
693,3,male,25.0,7.225,C,X,1
694,1,male,60.0,26.55,S,X,1
695,2,male,52.0,13.5,S,X,1
696,3,male,44.0,8.05,S,X,1
697,3,female,21.5,7.7333,Q,X,1
698,1,male,49.0,110.8833,C,C,3
699,3,male,42.0,7.65,S,F,1
700,1,female,18.0,227.525,C,C,2
701,1,male,35.0,26.2875,S,E,1
702,3,female,18.0,14.4542,C,X,2
703,3,male,25.0,7.7417,Q,X,1
704,3,male,26.0,7.8542,S,X,2
705,2,male,39.0,26.0,S,X,1
706,2,female,45.0,13.5,S,X,1
707,1,male,42.0,26.2875,S,E,1
708,1,female,22.0,151.55,S,X,1
709,3,male,25.0,15.2458,C,X,3
710,1,female,24.0,49.5042,C,C,1
711,1,male,40.0,26.55,S,C,1
712,1,male,48.0,52.0,S,C,2
713,3,male,29.0,9.4833,S,X,1
714,2,male,52.0,13.0,S,X,1
715,3,male,19.0,7.65,S,F,1
716,1,female,38.0,227.525,C,C,1
717,2,female,27.0,10.5,S,E,1
718,3,male,25.0,15.5,Q,X,1
719,3,male,33.0,7.775,S,X,1
720,2,female,6.0,33.0,S,X,2
721,3,male,17.0,7.0542,S,X,2
722,2,male,34.0,13.0,S,X,1
723,2,male,50.0,13.0,S,X,1
724,1,male,27.0,53.1,S,E,2
725,3,male,20.0,8.6625,S,X,1
726,2,female,30.0,21.0,S,X,4
727,3,female,21.5,7.7375,Q,X,1
728,2,male,25.0,26.0,S,X,2
729,3,female,25.0,7.925,S,X,2
730,1,female,29.0,211.3375,S,B,1
731,3,male,11.0,18.7875,C,X,1
732,2,male,30.0,0.0,S,X,1
733,2,male,23.0,13.0,S,X,1
734,2,male,23.0,13.0,S,X,1
735,3,male,28.5,16.1,S,X,1
736,3,female,48.0,34.375,S,X,5
737,1,male,35.0,512.3292,C,B,1
738,3,male,25.0,7.8958,S,X,1
739,3,male,25.0,7.8958,S,X,1
740,1,male,40.0,30.0,S,D,1
741,1,male,36.0,78.85,S,C,2
742,1,female,21.0,262.375,C,B,5
743,3,male,24.0,16.1,S,X,2
744,3,male,31.0,7.925,S,X,1
745,1,male,70.0,71.0,S,B,3
746,3,male,16.0,20.25,S,X,3
747,2,female,30.0,13.0,S,X,1
748,1,male,19.0,53.1,S,D,2
749,3,male,31.0,7.75,Q,X,1
750,2,female,4.0,23.0,S,X,3
751,3,male,6.0,12.475,S,E,2
752,3,male,33.0,9.5,S,X,1
753,3,male,23.0,7.8958,S,X,1
754,2,female,48.0,65.0,S,X,4
755,2,male,0.67,14.5,S,X,3
756,3,male,28.0,7.7958,S,X,1
757,2,male,18.0,11.5,S,X,1
758,3,male,34.0,8.05,S,X,1
759,1,female,33.0,86.5,S,B,1
760,3,male,25.0,14.5,S,X,1
761,3,male,41.0,7.125,S,X,1
762,3,male,20.0,7.2292,C,X,1
763,1,female,36.0,120.0,S,B,4
764,3,male,16.0,7.775,S,X,1
765,1,female,51.0,77.9583,S,D,2
766,1,male,40.0,39.6,C,X,1
767,3,female,30.5,7.75,Q,X,1
768,3,male,25.0,24.15,Q,X,2
769,3,male,32.0,8.3625,S,X,1
770,3,male,24.0,9.5,S,X,1
771,3,male,48.0,7.8542,S,X,1
772,2,female,57.0,10.5,S,E,1
773,3,male,25.0,7.225,C,X,1
774,2,female,54.0,23.0,S,X,5
775,3,male,18.0,7.75,S,X,1
776,3,male,25.0,7.75,Q,F,1
777,3,female,5.0,12.475,S,X,1
778,3,male,25.0,7.7375,Q,X,1
779,1,female,43.0,211.3375,S,B,2
780,3,female,13.0,7.2292,C,X,1
781,1,female,17.0,57.0,S,B,2
782,1,male,29.0,30.0,S,D,1
783,3,male,25.0,23.45,S,X,4
784,3,male,25.0,7.05,S,X,1
785,3,male,25.0,7.25,S,X,1
786,3,female,18.0,7.4958,S,X,1
787,3,male,8.0,29.125,Q,X,6
788,3,male,1.0,20.575,S,X,4
789,1,male,46.0,79.2,C,B,1
790,3,male,25.0,7.75,Q,X,1
791,2,male,16.0,26.0,S,X,1
792,3,female,21.5,69.55,S,X,11
793,1,male,40.0,30.6958,C,X,1
794,3,male,25.0,7.8958,S,X,1
795,2,male,39.0,13.0,S,X,1
796,1,female,49.0,25.9292,S,D,1
797,3,female,31.0,8.6833,S,X,1
798,3,male,30.0,7.2292,C,X,1
799,3,female,30.0,24.15,S,X,3
800,2,male,34.0,13.0,S,X,1
801,2,female,31.0,26.25,S,X,3
802,1,male,11.0,120.0,S,B,4
803,3,male,0.42,8.5167,C,X,2
804,3,male,27.0,6.975,S,X,1
805,3,male,31.0,7.775,S,X,1
806,1,male,39.0,0.0,S,A,1
807,3,female,18.0,7.775,S,X,1
808,2,male,39.0,13.0,S,X,1
809,1,female,33.0,53.1,S,E,2
810,3,male,26.0,7.8875,S,X,1
811,3,male,39.0,24.15,S,X,1
812,2,male,35.0,10.5,S,X,1
813,3,female,6.0,31.275,S,X,7
814,3,male,30.5,8.05,S,X,1
815,1,male,40.0,0.0,S,B,1
816,3,female,23.0,7.925,S,X,1
817,2,male,31.0,37.0042,C,X,3
818,3,male,43.0,6.45,S,X,1
819,3,male,10.0,27.9,S,X,6
820,1,female,52.0,93.5,S,B,3
821,3,male,27.0,8.6625,S,X,1
822,1,male,38.0,0.0,S,X,1
823,3,female,27.0,12.475,S,E,2
824,3,male,2.0,39.6875,S,X,6
825,3,male,25.0,6.95,Q,X,1
826,3,male,25.0,56.4958,S,X,1
827,2,male,1.0,37.0042,C,X,3
828,3,male,25.0,7.75,Q,X,1
829,1,female,62.0,80.0,S,B,1
830,3,female,15.0,14.4542,C,X,2
831,2,male,0.83,18.75,S,X,3
832,3,male,25.0,7.2292,C,X,1
833,3,male,23.0,7.8542,S,X,1
834,3,male,18.0,8.3,S,X,1
835,1,female,39.0,83.1583,C,E,3
836,3,male,21.0,8.6625,S,X,1
837,3,male,25.0,8.05,S,X,1
838,3,male,32.0,56.4958,S,X,1
839,1,male,40.0,29.7,C,C,1
840,3,male,20.0,7.925,S,X,1
841,2,male,16.0,10.5,S,X,1
842,1,female,30.0,31.0,C,X,1
843,3,male,34.5,6.4375,C,X,1
844,3,male,17.0,8.6625,S,X,1
845,3,male,42.0,7.55,S,X,1
846,3,male,25.0,69.55,S,X,11
847,3,male,35.0,7.8958,C,X,1
848,2,male,28.0,33.0,S,X,2
849,1,female,35.0,89.1042,C,C,2
850,3,male,4.0,31.275,S,X,7
851,3,male,74.0,7.775,S,X,1
852,3,female,9.0,15.2458,C,X,3
853,1,female,16.0,39.4,S,D,2
854,2,female,44.0,26.0,S,X,2
855,3,female,18.0,9.35,S,X,2
856,1,female,45.0,164.8667,S,X,3
857,1,male,51.0,26.55,S,E,1
858,3,female,24.0,19.2583,C,X,4
859,3,male,25.0,7.2292,C,X,1
860,3,male,41.0,14.1083,S,X,3
861,2,male,21.0,11.5,S,X,2
862,1,female,48.0,25.9292,S,D,1
863,3,female,21.5,69.55,S,X,11
864,2,male,24.0,13.0,S,X,1
865,2,female,42.0,13.0,S,X,1
866,2,female,27.0,13.8583,C,X,2
867,1,male,31.0,50.4958,S,A,1
868,3,male,25.0,9.5,S,X,1
869,3,male,4.0,11.1333,S,X,3
870,3,male,26.0,7.8958,S,X,1
871,1,female,47.0,52.5542,S,D,3
872,1,male,33.0,5.0,S,B,1
873,3,male,47.0,9.0,S,X,1
874,2,female,28.0,24.0,C,X,2
875,3,female,15.0,7.225,C,X,1
876,3,male,20.0,9.8458,S,X,1
877,3,male,19.0,7.8958,S,X,1
878,3,male,25.0,7.8958,S,X,1
879,1,female,56.0,83.1583,C,C,2
880,2,female,25.0,26.0,S,X,2
881,3,male,33.0,7.8958,S,X,1
882,3,female,22.0,10.5167,S,X,1
883,2,male,28.0,10.5,S,X,1
884,3,male,25.0,7.05,S,X,1
885,3,female,39.0,29.125,Q,X,6
886,2,male,27.0,13.0,S,X,1
887,1,female,19.0,30.0,S,B,1
888,3,female,21.5,23.45,S,X,4
889,1,male,26.0,30.0,C,C,1
890,3,male,32.0,7.75,Q,X,1
